@@CONNECTOR_RANGE@@	до
@@CONNECTOR_RATIO@@	к
@@CONNECTOR_BY@@	на
@@CONNECTOR_CONSECUTIVE_YEAR@@	до
@@JANUARY@@	январь
@@JANUARY@@	январи
@@JANUARY@@	января
@@JANUARY@@	январей
@@JANUARY@@	январю
@@JANUARY@@	январям
@@JANUARY@@	январь
@@JANUARY@@	январи
@@JANUARY@@	январём
@@JANUARY@@	январями
@@JANUARY@@	январе
@@JANUARY@@	январях
@@FEBRUARY@@	февраль
@@FEBRUARY@@	феврали
@@FEBRUARY@@	февраля
@@FEBRUARY@@	февралей
@@FEBRUARY@@	февралю
@@FEBRUARY@@	февралям
@@FEBRUARY@@	февраль
@@FEBRUARY@@	феврали
@@FEBRUARY@@	февралём
@@FEBRUARY@@	февралями
@@FEBRUARY@@	феврале
@@FEBRUARY@@	февралях
@@MARCH@@	март
@@MARCH@@	марты
@@MARCH@@	марта
@@MARCH@@	мартов
@@MARCH@@	марту
@@MARCH@@	мартам
@@MARCH@@	март
@@MARCH@@	марты
@@MARCH@@	мартом
@@MARCH@@	мартами
@@MARCH@@	марте
@@MARCH@@	мартах
@@APRIL@@	апрель
@@APRIL@@	апрели
@@APRIL@@	апреля
@@APRIL@@	апрелей
@@APRIL@@	апрелю
@@APRIL@@	апрелям
@@APRIL@@	апрель
@@APRIL@@	апрели
@@APRIL@@	апрелем
@@APRIL@@	апрелями
@@APRIL@@	апреле
@@APRIL@@	апрелях
@@MAY@@	май
@@MAY@@	маи
@@MAY@@	мая
@@MAY@@	маев
@@MAY@@	маю
@@MAY@@	маям
@@MAY@@	май
@@MAY@@	маи
@@MAY@@	маем
@@MAY@@	маями
@@MAY@@	мае
@@MAY@@	маях
@@JUN@@	июнь
@@JUN@@	июни
@@JUN@@	июня
@@JUN@@	июней
@@JUN@@	июню
@@JUN@@	июням
@@JUN@@	июнь
@@JUN@@	июни
@@JUN@@	июнем
@@JUN@@	июнями
@@JUN@@	июне
@@JUN@@	июнях
@@JUL@@	июль
@@JUL@@	июли
@@JUL@@	июля
@@JUL@@	июлей
@@JUL@@	июлю
@@JUL@@	июлям
@@JUL@@	июль
@@JUL@@	июли
@@JUL@@	июлем
@@JUL@@	июлями
@@JUL@@	июле
@@JUL@@	июлях
@@AUGUST@@	август
@@AUGUST@@	августы
@@AUGUST@@	августа
@@AUGUST@@	августов
@@AUGUST@@	августу
@@AUGUST@@	августам
@@AUGUST@@	август
@@AUGUST@@	августы
@@AUGUST@@	августом
@@AUGUST@@	августами
@@AUGUST@@	августе
@@AUGUST@@	августах
@@SEPTEMBER@@	сентябрь
@@SEPTEMBER@@	сентябри
@@SEPTEMBER@@	сентября
@@SEPTEMBER@@	сентябрей
@@SEPTEMBER@@	сентябрю
@@SEPTEMBER@@	сентябрям
@@SEPTEMBER@@	сентябрь
@@SEPTEMBER@@	сентябри
@@SEPTEMBER@@	сентябрём
@@SEPTEMBER@@	сентябрями
@@SEPTEMBER@@	сентябре
@@SEPTEMBER@@	сентябрях
@@OCTOBER@@	октябрь
@@OCTOBER@@	октябри
@@OCTOBER@@	октября
@@OCTOBER@@	октябрей
@@OCTOBER@@	октябрю
@@OCTOBER@@	октябрям
@@OCTOBER@@	октябрь
@@OCTOBER@@	октябри
@@OCTOBER@@	октябрём
@@OCTOBER@@	октябрями
@@OCTOBER@@	октябре
@@OCTOBER@@	октябрях
@@NOVEMBER@@	ноябрь
@@NOVEMBER@@	ноябри
@@NOVEMBER@@	ноября
@@NOVEMBER@@	ноябрей
@@NOVEMBER@@	ноябрю
@@NOVEMBER@@	ноябрям
@@NOVEMBER@@	ноябрь
@@NOVEMBER@@	ноябри
@@NOVEMBER@@	ноябрём
@@NOVEMBER@@	ноябрями
@@NOVEMBER@@	ноябре
@@NOVEMBER@@	ноябрях
@@DECEMBER@@	декабрь
@@DECEMBER@@	декабри
@@DECEMBER@@	декабря
@@DECEMBER@@	декабрей
@@DECEMBER@@	декабрю
@@DECEMBER@@	декабрям
@@DECEMBER@@	декабрь
@@DECEMBER@@	декабри
@@DECEMBER@@	декабрём
@@DECEMBER@@	декабрями
@@DECEMBER@@	декабре
@@DECEMBER@@	декабрях
@@MINUS@@	минус
@@DECIMAL_DOT_EXPRESSION@@	целая
@@DECIMAL_DOT_EXPRESSION@@	целой
@@DECIMAL_DOT_EXPRESSION@@	целой
@@DECIMAL_DOT_EXPRESSION@@	целую
@@DECIMAL_DOT_EXPRESSION@@	целой
@@DECIMAL_DOT_EXPRESSION@@	целой
@@DECIMAL_DOT_EXPRESSION@@	целым
@@DECIMAL_DOT_EXPRESSION@@	целыми
@@DECIMAL_DOT_EXPRESSION@@	целых
@@DECIMAL_DOT_EXPRESSION@@	целых
@@URL_DOT_EXPRESSION@@	точка
@@PERIOD@@	точка
@@DECIMAL_EXPONENT@@	умножить на десять в степени
@@COLON@@	двоеточие
@@SLASH@@	косая черта
@@PASSWORD@@	пароль
@@AT@@	собака
@@PORT@@	порт
@@QUESTION_MARK@@	вопросительный знак
@@HASH@@	решётка
@@HASH@@	решетка
@@MONEY_AND@@	и
@@AND@@	и
@@PHONE_PLUS@@	плюс
@@ARITHMETIC_PLUS@@	плюс
@@PHONE_EXTENSION@@	добавочный номер
@@TIME_AM@@		утра
@@TIME_PM@@		вечера
@@HOUR@@		час
@@HOUR@@		часа
@@HOUR@@		часам
@@HOUR@@		часами
@@HOUR@@		часах
@@HOUR@@		часе
@@HOUR@@		часов
@@HOUR@@		часом
@@HOUR@@		часу
@@HOUR@@		часы
@@MINUTE@@	минут
@@MINUTE@@	минута
@@MINUTE@@	минутам
@@MINUTE@@	минутами
@@MINUTE@@	минутах
@@MINUTE@@	минуте
@@MINUTE@@	минутой
@@MINUTE@@	минутою
@@MINUTE@@	минуту
@@MINUTE@@	минуты
@@TIME_AFTER@@	__NULL__
@@TIME_BEFORE_PRE@@		без
@@TIME_QUARTER@@	четверть
@@TIME_QUARTER@@	четверти
@@TIME_HALF@@	половина
@@TIME_HALF@@	половины
@@TIME_HALF@@	половину
@@TIME_HALF@@	половин
@@TIME_HALF@@	половине
@@TIME_HALF@@	половинам
@@TIME_HALF@@	половиной
@@TIME_HALF@@	половинами
@@TIME_HALF@@	половинах
@@PERCENT@@	процент
@@PERCENT@@	процента
@@PERCENT@@	процентам
@@PERCENT@@	процентами
@@PERCENT@@	процентах
@@PERCENT@@	проценте
@@PERCENT@@	процентов
@@PERCENT@@	процентом
@@PERCENT@@	проценту
@@PERCENT@@	проценты
@@PERCENT@@	проценты
